order_id,item_name,item_id,item_cat,item_size
1,Croissant,It015,Bakery,
1,Cheesecake,It018,Bakery,
2,Caramel Macchiato,It004,Drinks,Medium
2,Tea,It019,Drinks,
3,Apple Pie,It025,Bakery,
3,Cappuccino,It001,Drinks,Medium
3,Iced Americano,It009,Drinks,Medium
4,Apple Pie,It025,Bakery,
4,Cappuccino,It001,Drinks,Medium
4,White Mocha,It007,Drinks,Medium
4,Espresso,It005,Drinks,
5,Mocha,It006,Drinks,Medium
5,Toast,It014,Bakery,
5,Cappuccino,It001,Drinks,Medium
5,Donut,It024,Bakery,
6,Tea,It019,Drinks,
6,Cheesecake,It018,Bakery,
7,Iced Tea,It011,Drinks,Medium
7,Sandwich Salami&Mozzarella,It013,Bakery,
7,Hot Chocolate,It008,Drinks,Medium
7,Americano,It022,Drinks,Medium
8,Hot Chocolate,It008,Drinks,Medium
8,Caramel Macchiato,It004,Drinks,Medium
8,White Mocha,It007,Drinks,Medium
8,Flat White,It003,Drinks,
9,Iced Tea,It011,Drinks,Medium
9,Iced Latte,It010,Drinks,Medium
9,Caramel Macchiato,It004,Drinks,Medium
9,Sandwich Salami&Mozzarella,It013,Bakery,
10,Carrot Cake,It026,Bakery,
10,Flat White,It003,Drinks,
11,Lemonade,It012,Drinks,Medium
11,Croissant,It015,Bakery,
11,Iced Mocha,It021,Drinks,Medium
11,Cappuccino,It001,Drinks,Medium
12,Toast,It014,Bakery,
12,Americano,It022,Drinks,Medium
13,Caramel Macchiato,It004,Drinks,Medium
13,Hot Chocolate,It008,Drinks,Medium
14,Tramisu,It023,Bakery,
14,Apple Pie,It025,Bakery,
14,Latte,It002,Drinks,Medium
14,Carrot Cake,It026,Bakery,
15,Iced Americano,It009,Drinks,Medium
15,Croissant,It015,Bakery,
15,White Mocha,It007,Drinks,Medium
15,Sandwich Salami&Mozzarella,It013,Bakery,
16,Latte,It002,Drinks,Medium
16,Cookie,It017,Bakery,
16,Tea,It019,Drinks,
16,Caramel Macchiato,It004,Drinks,Medium
17,Flat White,It003,Drinks,
17,Toast,It014,Bakery,
17,Carrot Cake,It026,Bakery,
18,Cheesecake,It018,Bakery,
18,Brownie,It016,Bakery,
18,Carrot Cake,It026,Bakery,
19,Cookie,It017,Bakery,
19,White Mocha,It007,Drinks,Medium
19,Toast,It014,Bakery,
20,White Mocha,It007,Drinks,Medium
20,Hot Chocolate,It008,Drinks,Medium
21,Iced Latte,It010,Drinks,Medium
21,Hot Chocolate,It008,Drinks,Medium
22,Cheesecake,It018,Bakery,
22,Carrot Cake,It026,Bakery,
23,Herbal Tea,It020,Drinks,
23,Espresso,It005,Drinks,
24,Apple Pie,It025,Bakery,
24,Toast,It014,Bakery,
25,Cheesecake,It018,Bakery,
25,Mocha,It006,Drinks,Medium
26,Latte,It002,Drinks,Medium
26,White Mocha,It007,Drinks,Medium
26,Sandwich Salami&Mozzarella,It013,Bakery,
27,Lemonade,It012,Drinks,Medium
27,White Mocha,It007,Drinks,Medium
27,Mocha,It006,Drinks,Medium
27,Iced Latte,It010,Drinks,Medium
28,Lemonade,It012,Drinks,Medium
28,Brownie,It016,Bakery,
29,Sandwich Salami&Mozzarella,It013,Bakery,
29,Carrot Cake,It026,Bakery,
29,Croissant,It015,Bakery,
30,Carrot Cake,It026,Bakery,
30,Brownie,It016,Bakery,
30,Iced Latte,It010,Drinks,Medium
30,Iced Tea,It011,Drinks,Medium
31,White Mocha,It007,Drinks,Medium
31,Tramisu,It023,Bakery,
31,Carrot Cake,It026,Bakery,
31,Iced Tea,It011,Drinks,Medium
32,Cheesecake,It018,Bakery,
32,Cookie,It017,Bakery,
32,Tea,It019,Drinks,
32,White Mocha,It007,Drinks,Medium
33,Latte,It002,Drinks,Medium
33,Cookie,It017,Bakery,
33,Iced Latte,It010,Drinks,Medium
33,Croissant,It015,Bakery,
34,Espresso,It005,Drinks,
34,Sandwich Salami&Mozzarella,It013,Bakery,
34,Iced Tea,It011,Drinks,Medium
34,Flat White,It003,Drinks,
35,Americano,It022,Drinks,Medium
35,Lemonade,It012,Drinks,Medium
35,Iced Latte,It010,Drinks,Medium
36,Donut,It024,Bakery,
36,Carrot Cake,It026,Bakery,
36,Cheesecake,It018,Bakery,
36,Iced Americano,It009,Drinks,Medium
37,Sandwich Salami&Mozzarella,It013,Bakery,
37,Iced Americano,It009,Drinks,Medium
37,Espresso,It005,Drinks,
37,Cappuccino,It001,Drinks,Medium
38,Iced Mocha,It021,Drinks,Medium
38,Cheesecake,It018,Bakery,
39,Herbal Tea,It020,Drinks,
39,Cheesecake,It018,Bakery,
40,Iced Tea,It011,Drinks,Medium
40,Donut,It024,Bakery,
40,Flat White,It003,Drinks,
40,Tea,It019,Drinks,
41,Donut,It024,Bakery,
41,Sandwich Salami&Mozzarella,It013,Bakery,
42,White Mocha,It007,Drinks,Medium
42,Flat White,It003,Drinks,
42,Caramel Macchiato,It004,Drinks,Medium
43,Iced Tea,It011,Drinks,Medium
43,Donut,It024,Bakery,
43,Iced Americano,It009,Drinks,Medium
43,Caramel Macchiato,It004,Drinks,Medium
44,Cookie,It017,Bakery,
44,Iced Americano,It009,Drinks,Medium
44,Latte,It002,Drinks,Medium
44,Flat White,It003,Drinks,
45,Carrot Cake,It026,Bakery,
45,Americano,It022,Drinks,Medium
45,Apple Pie,It025,Bakery,
46,Iced Latte,It010,Drinks,Medium
46,Mocha,It006,Drinks,Medium
46,Cheesecake,It018,Bakery,
47,Latte,It002,Drinks,Medium
47,Toast,It014,Bakery,
47,Tea,It019,Drinks,
48,Caramel Macchiato,It004,Drinks,Medium
48,Herbal Tea,It020,Drinks,
48,Iced Tea,It011,Drinks,Medium
48,Tramisu,It023,Bakery,
49,Cappuccino,It001,Drinks,Medium
49,Toast,It014,Bakery,
49,Iced Latte,It010,Drinks,Medium
50,Herbal Tea,It020,Drinks,
50,Mocha,It006,Drinks,Medium
50,Americano,It022,Drinks,Medium
51,Mocha,It006,Drinks,Medium
51,Carrot Cake,It026,Bakery,
51,Croissant,It015,Bakery,
52,Sandwich Salami&Mozzarella,It013,Bakery,
52,Americano,It022,Drinks,Medium
53,Iced Americano,It009,Drinks,Medium
53,Cheesecake,It018,Bakery,
53,Americano,It022,Drinks,Medium
54,Tea,It019,Drinks,
54,Mocha,It006,Drinks,Medium
54,Lemonade,It012,Drinks,Medium
55,Cappuccino,It001,Drinks,Medium
55,Caramel Macchiato,It004,Drinks,Medium
55,Hot Chocolate,It008,Drinks,Medium
56,Flat White,It003,Drinks,
56,Americano,It022,Drinks,Medium
56,Iced Latte,It010,Drinks,Medium
57,Iced Americano,It009,Drinks,Medium
57,Tea,It019,Drinks,
57,Hot Chocolate,It008,Drinks,Medium
58,Iced Tea,It011,Drinks,Medium
58,Cheesecake,It018,Bakery,
59,Cheesecake,It018,Bakery,
59,Tea,It019,Drinks,
60,Espresso,It005,Drinks,
60,Latte,It002,Drinks,Medium
60,Tea,It019,Drinks,
61,Hot Chocolate,It008,Drinks,Medium
61,Mocha,It006,Drinks,Medium
61,Lemonade,It012,Drinks,Medium
61,Herbal Tea,It020,Drinks,
62,Herbal Tea,It020,Drinks,
62,Espresso,It005,Drinks,
63,White Mocha,It007,Drinks,Medium
63,Iced Mocha,It021,Drinks,Medium
63,Herbal Tea,It020,Drinks,
63,Carrot Cake,It026,Bakery,
64,Hot Chocolate,It008,Drinks,Medium
64,Brownie,It016,Bakery,
64,Lemonade,It012,Drinks,Medium
64,White Mocha,It007,Drinks,Medium
65,Flat White,It003,Drinks,
65,Espresso,It005,Drinks,
66,Donut,It024,Bakery,
66,Brownie,It016,Bakery,
67,Herbal Tea,It020,Drinks,
67,Iced Americano,It009,Drinks,Medium
68,Cookie,It017,Bakery,
68,Iced Mocha,It021,Drinks,Medium
69,Flat White,It003,Drinks,
69,Latte,It002,Drinks,Medium
69,Tea,It019,Drinks,
70,White Mocha,It007,Drinks,Medium
70,Tramisu,It023,Bakery,
70,Espresso,It005,Drinks,
71,Tea,It019,Drinks,
71,Brownie,It016,Bakery,
71,Flat White,It003,Drinks,
71,Cookie,It017,Bakery,
72,Cookie,It017,Bakery,
72,Iced Mocha,It021,Drinks,Medium
73,Herbal Tea,It020,Drinks,
73,Latte,It002,Drinks,Medium
73,Cheesecake,It018,Bakery,
73,Cappuccino,It001,Drinks,Medium
74,Mocha,It006,Drinks,Medium
74,Americano,It022,Drinks,Medium
74,Tea,It019,Drinks,
75,Latte,It002,Drinks,Medium
75,Tea,It019,Drinks,
76,White Mocha,It007,Drinks,Medium
76,Iced Americano,It009,Drinks,Medium
76,Tea,It019,Drinks,
76,Herbal Tea,It020,Drinks,
77,Lemonade,It012,Drinks,Medium
77,Sandwich Salami&Mozzarella,It013,Bakery,
77,Donut,It024,Bakery,
78,Carrot Cake,It026,Bakery,
78,Espresso,It005,Drinks,
78,White Mocha,It007,Drinks,Medium
78,Hot Chocolate,It008,Drinks,Medium
79,Mocha,It006,Drinks,Medium
79,Iced Latte,It010,Drinks,Medium
79,Donut,It024,Bakery,
80,Flat White,It003,Drinks,
80,Espresso,It005,Drinks,
81,Brownie,It016,Bakery,
81,White Mocha,It007,Drinks,Medium
81,Carrot Cake,It026,Bakery,
82,Caramel Macchiato,It004,Drinks,Medium
82,Cheesecake,It018,Bakery,
82,Toast,It014,Bakery,
82,Americano,It022,Drinks,Medium
83,Tea,It019,Drinks,
83,Croissant,It015,Bakery,
84,Flat White,It003,Drinks,
84,Caramel Macchiato,It004,Drinks,Medium
84,Iced Americano,It009,Drinks,Medium
85,Flat White,It003,Drinks,
85,Tramisu,It023,Bakery,
85,Iced Americano,It009,Drinks,Medium
85,Cookie,It017,Bakery,
86,Donut,It024,Bakery,
86,Carrot Cake,It026,Bakery,
87,Hot Chocolate,It008,Drinks,Medium
87,Cappuccino,It001,Drinks,Medium
87,Iced Americano,It009,Drinks,Medium
88,Donut,It024,Bakery,
88,Iced Mocha,It021,Drinks,Medium
88,Apple Pie,It025,Bakery,
89,Iced Latte,It010,Drinks,Medium
89,Tea,It019,Drinks,
89,Lemonade,It012,Drinks,Medium
89,Toast,It014,Bakery,
90,Cheesecake,It018,Bakery,
90,White Mocha,It007,Drinks,Medium
90,Brownie,It016,Bakery,
91,Lemonade,It012,Drinks,Medium
91,Espresso,It005,Drinks,
91,Iced Latte,It010,Drinks,Medium
92,Iced Mocha,It021,Drinks,Medium
92,Croissant,It015,Bakery,
93,Carrot Cake,It026,Bakery,
93,Iced Latte,It010,Drinks,Medium
93,Apple Pie,It025,Bakery,
93,Flat White,It003,Drinks,
94,Sandwich Salami&Mozzarella,It013,Bakery,
94,Croissant,It015,Bakery,
94,Iced Latte,It010,Drinks,Medium
94,Iced Mocha,It021,Drinks,Medium
95,Lemonade,It012,Drinks,Medium
95,Sandwich Salami&Mozzarella,It013,Bakery,
95,Iced Americano,It009,Drinks,Medium
95,Cheesecake,It018,Bakery,
96,Iced Mocha,It021,Drinks,Medium
96,Herbal Tea,It020,Drinks,
96,Carrot Cake,It026,Bakery,
97,Iced Americano,It009,Drinks,Medium
97,Americano,It022,Drinks,Medium
98,Iced Americano,It009,Drinks,Medium
98,Espresso,It005,Drinks,
98,Brownie,It016,Bakery,
99,Espresso,It005,Drinks,
99,Iced Tea,It011,Drinks,Medium
99,Caramel Macchiato,It004,Drinks,Medium
100,Apple Pie,It025,Bakery,
100,White Mocha,It007,Drinks,Medium
101,Donut,It024,Bakery,
101,Iced Americano,It009,Drinks,Medium
101,Apple Pie,It025,Bakery,
101,Iced Mocha,It021,Drinks,Medium
102,Donut,It024,Bakery,
102,Mocha,It006,Drinks,Medium
102,White Mocha,It007,Drinks,Medium
103,Carrot Cake,It026,Bakery,
103,Sandwich Salami&Mozzarella,It013,Bakery,
104,Iced Mocha,It021,Drinks,Medium
104,Tea,It019,Drinks,
105,Croissant,It015,Bakery,
105,Tea,It019,Drinks,
105,Mocha,It006,Drinks,Medium
105,Donut,It024,Bakery,
106,Mocha,It006,Drinks,Medium
106,Sandwich Salami&Mozzarella,It013,Bakery,
107,Espresso,It005,Drinks,
107,Cheesecake,It018,Bakery,
107,Carrot Cake,It026,Bakery,
107,Donut,It024,Bakery,
108,Mocha,It006,Drinks,Medium
108,Espresso,It005,Drinks,
109,Iced Americano,It009,Drinks,Medium
109,Cookie,It017,Bakery,
109,Americano,It022,Drinks,Medium
109,Donut,It024,Bakery,
110,Americano,It022,Drinks,Medium
110,Iced Tea,It011,Drinks,Medium
110,Iced Americano,It009,Drinks,Medium
110,Cappuccino,It001,Drinks,Medium
111,Latte,It002,Drinks,Medium
111,Cheesecake,It018,Bakery,
111,Tramisu,It023,Bakery,
111,Hot Chocolate,It008,Drinks,Medium
112,Apple Pie,It025,Bakery,
112,Carrot Cake,It026,Bakery,
113,Cappuccino,It001,Drinks,Medium
113,Lemonade,It012,Drinks,Medium
114,Sandwich Salami&Mozzarella,It013,Bakery,
114,Americano,It022,Drinks,Medium
114,Carrot Cake,It026,Bakery,
115,Sandwich Salami&Mozzarella,It013,Bakery,
115,Carrot Cake,It026,Bakery,
115,Cappuccino,It001,Drinks,Medium
115,Mocha,It006,Drinks,Medium
116,White Mocha,It007,Drinks,Medium
116,Iced Latte,It010,Drinks,Medium
117,Carrot Cake,It026,Bakery,
117,Toast,It014,Bakery,
117,Lemonade,It012,Drinks,Medium
117,Tramisu,It023,Bakery,
118,White Mocha,It007,Drinks,Medium
118,Iced Americano,It009,Drinks,Medium
118,Iced Latte,It010,Drinks,Medium
119,Cookie,It017,Bakery,
119,Iced Mocha,It021,Drinks,Medium
119,Iced Tea,It011,Drinks,Medium
120,Iced Latte,It010,Drinks,Medium
120,Apple Pie,It025,Bakery,
121,Iced Latte,It010,Drinks,Medium
121,Espresso,It005,Drinks,
122,Carrot Cake,It026,Bakery,
122,Iced Tea,It011,Drinks,Medium
123,Mocha,It006,Drinks,Medium
123,Tea,It019,Drinks,
123,Iced Latte,It010,Drinks,Medium
123,Cappuccino,It001,Drinks,Medium
124,Sandwich Salami&Mozzarella,It013,Bakery,
124,Carrot Cake,It026,Bakery,
124,Tramisu,It023,Bakery,
125,Caramel Macchiato,It004,Drinks,Medium
125,Iced Americano,It009,Drinks,Medium
125,Espresso,It005,Drinks,
126,Carrot Cake,It026,Bakery,
126,Cheesecake,It018,Bakery,
126,Flat White,It003,Drinks,
127,Tramisu,It023,Bakery,
127,Tea,It019,Drinks,
128,Sandwich Salami&Mozzarella,It013,Bakery,
128,Latte,It002,Drinks,Medium
128,Lemonade,It012,Drinks,Medium
128,Flat White,It003,Drinks,
129,Herbal Tea,It020,Drinks,
129,Sandwich Salami&Mozzarella,It013,Bakery,
130,Cookie,It017,Bakery,
130,Cappuccino,It001,Drinks,Medium
130,Croissant,It015,Bakery,
131,White Mocha,It007,Drinks,Medium
131,Carrot Cake,It026,Bakery,
131,Herbal Tea,It020,Drinks,
131,Mocha,It006,Drinks,Medium
132,Lemonade,It012,Drinks,Medium
132,Toast,It014,Bakery,
132,Herbal Tea,It020,Drinks,
133,Flat White,It003,Drinks,
133,Iced Americano,It009,Drinks,Medium
134,Iced Americano,It009,Drinks,Medium
134,Brownie,It016,Bakery,
135,Cappuccino,It001,Drinks,Medium
135,White Mocha,It007,Drinks,Medium
135,Americano,It022,Drinks,Medium
136,Mocha,It006,Drinks,Medium
136,Carrot Cake,It026,Bakery,
137,Toast,It014,Bakery,
137,Donut,It024,Bakery,
137,Iced Tea,It011,Drinks,Medium
138,Iced Mocha,It021,Drinks,Medium
138,Iced Tea,It011,Drinks,Medium
139,Caramel Macchiato,It004,Drinks,Medium
139,Tea,It019,Drinks,
139,Croissant,It015,Bakery,
140,Iced Americano,It009,Drinks,Medium
140,Tramisu,It023,Bakery,
141,Herbal Tea,It020,Drinks,
141,Hot Chocolate,It008,Drinks,Medium
141,Croissant,It015,Bakery,
142,Sandwich Salami&Mozzarella,It013,Bakery,
142,Americano,It022,Drinks,Medium
143,Cappuccino,It001,Drinks,Medium
143,Lemonade,It012,Drinks,Medium
144,Tramisu,It023,Bakery,
144,Flat White,It003,Drinks,
144,Caramel Macchiato,It004,Drinks,Medium
145,Americano,It022,Drinks,Medium
145,Cheesecake,It018,Bakery,
146,Carrot Cake,It026,Bakery,
146,Flat White,It003,Drinks,
146,Herbal Tea,It020,Drinks,
147,Espresso,It005,Drinks,
147,Latte,It002,Drinks,Medium
148,Carrot Cake,It026,Bakery,
148,Toast,It014,Bakery,
148,Sandwich Salami&Mozzarella,It013,Bakery,
148,Espresso,It005,Drinks,
149,Iced Latte,It010,Drinks,Medium
149,Lemonade,It012,Drinks,Medium
149,Brownie,It016,Bakery,
150,Lemonade,It012,Drinks,Medium
150,Sandwich Salami&Mozzarella,It013,Bakery,
150,Carrot Cake,It026,Bakery,
150,Cappuccino,It001,Drinks,Medium
151,Flat White,It003,Drinks,
151,Cheesecake,It018,Bakery,
152,Cookie,It017,Bakery,
152,Iced Tea,It011,Drinks,Medium
152,Lemonade,It012,Drinks,Medium
152,Toast,It014,Bakery,
153,Flat White,It003,Drinks,
153,Herbal Tea,It020,Drinks,
153,Caramel Macchiato,It004,Drinks,Medium
153,White Mocha,It007,Drinks,Medium
154,Iced Americano,It009,Drinks,Medium
154,Caramel Macchiato,It004,Drinks,Medium
154,Herbal Tea,It020,Drinks,
154,Mocha,It006,Drinks,Medium
155,Cheesecake,It018,Bakery,
